director_id,movie_id,id
2009,200521,1
2931,276085,2
3107,337307,3
3325,123572,4
3519,280270,5
1364,17760,6
1364,204163,7
6531,253440,8
6742,163625,9
6866,211506,10
8271,151052,11
9134,337830,12
9461,375706,13
9540,130358,14
9615,127627,15
10885,37057,16
11079,109590,17
11652,10920,18
11652,328277,19
12025,163288,20
12025,163485,21
12025,221130,22
12114,287712,23
13549,64833,24
13549,216964,25
14415,31274,26
14738,26352,27
14738,319516,28
15092,109093,29
15093,109093,30
15901,18960,31
16404,97342,32
16967,131240,33
17153,129439,34
17154,56044,35
18724,289558,36
20528,218415,37
20713,302696,38
22104,224842,39
22104,346949,40
22587,302150,41
24758,112290,42
24758,291698,43
24777,18498,44
24964,54726,45
25146,131240,46
25522,12937,47
25522,241347,48
25789,340247,49
25819,17676,50
25845,232275,51
26753,260430,52
28025,150629,53
28315,324371,54
28395,46169,55
28582,218599,56
28582,342384,57
29348,30182,58
29394,104338,59
29463,14942,60
30293,232829,61
31322,308396,62
31943,97765,63
32109,177138,64
32380,182955,65
34475,82681,66
34476,82681,67
34658,85669,68
34658,235062,69
34658,235676,70
34658,266574,71
34658,273543,72
34658,273585,73
34658,281546,74
34658,316323,75
34658,352639,76
35295,86282,77
36817,120528,78
38512,190166,79
38512,218599,80
40115,13978,81
40133,240922,82
40370,70391,83
40390,302696,84
40418,90772,85
40654,313478,86
42679,169942,87
43095,1711,88
43095,30431,89
43095,92616,90
43095,121538,91
43095,250612,92
43417,156234,93
43417,271915,94
43417,371844,95
44365,198435,96
44365,212097,97
44718,337166,98
45231,186439,99
46014,14110,100
46046,241141,101
46515,218346,102
48262,969,103
48262,89147,104
48262,230151,105
49917,11108,106
49939,186431,107
49945,141544,108
50543,313479,109
52393,216312,110
52480,2136,111
52544,86274,112
52953,13789,113
53721,11440,114
53810,302329,115
55860,33848,116
56018,334212,117
56182,287782,118
56272,287712,119
57599,153985,120
57749,364329,121
58201,30959,122
58201,210511,123
60713,239851,124
63095,62076,125
63095,281937,126
63804,15936,127
64753,184978,128
65051,134672,129
65620,218346,130
65940,313059,131
66829,309597,132
66849,193253,133
66849,306032,134
67419,302329,135
68032,70404,136
71645,56304,137
71645,131780,138
71645,270971,139
71645,326155,140
71703,10830,141
71703,40199,142
71703,129185,143
72953,306312,144
73623,218415,145
75380,159172,146
75380,165961,147
75380,271095,148
75380,289109,149
75380,290070,150
75761,113504,151
76524,257459,152
77159,310141,153
78273,176711,154
78273,267038,155
78273,276217,156
78306,312963,157
80432,32178,158
81239,113504,159
81239,218415,160
81935,131665,161
82462,256632,162
84577,287719,163
84672,187908,164
84880,64729,165
84880,336683,166
85543,91758,167
85543,307913,168
85543,312934,169
85543,319181,170
85543,366987,171
86091,310141,172
86128,32178,173
86488,131240,174
86802,33923,175
86802,280803,176
87869,58542,177
88102,26844,178
88102,117874,179
88418,144861,180
